ar,segment,tilbyder,omsetning,abonnement_forrige_ar,abonnement_slutt_ar,abonnement,value
2020,Bedrift,Fjordkraft,940,,557,557.0,140.63435068821065
2020,Bedrift,Happybytes,505,,348,348.0,120.92911877394636
2021,Bedrift,Happybytes,910,348,502,425.0,178.43137254901958
2022,Bedrift,Happybytes,1593,502,530,516.0,257.2674418604651
2023,Bedrift,Happybytes,1847,530,512,521.0,295.4254638515675
2024,Bedrift,Happybytes,2035,512,559,535.5,316.68222844693435
2025,Bedrift,Happybytes,2414,559,732,645.5,311.6447198554093
2020,Bedrift,Ice,134177,,41411,41411.0,270.01078618402516
2021,Bedrift,Ice,141884,41411,47358,44384.5,266.391795934767
2022,Bedrift,Ice,163010,47358,54119,50738.5,267.72897635260534
2023,Bedrift,Ice,185015,54119,62723,58421.0,263.91052304251326
2024,Bedrift,Ice,211938,62723,73222,67972.5,259.83302070690354
2025,Bedrift,Ice,245836,73222,91643,82432.5,248.52252853344658
2020,Bedrift,Telenor,3383563,,887930,887930.0,317.5515900277424
2021,Bedrift,Telenor,3315231,887930,905214,896572.0,308.1395024604828
2022,Bedrift,Telenor,3290390,905214,880888,893051.0,307.03640292286406
2023,Bedrift,Telenor,3171300,880888,888904,884896.0,298.6509149097747
2024,Bedrift,Telenor,3195059,888904,892910,890907.0,298.85826092585046
2025,Bedrift,Telenor,3293376,892910,890041,891475.5,307.8581520187599
2020,Bedrift,Telia,1318191,,524841,524841.0,209.3000546832279
2021,Bedrift,Telia,1431506,524841,563880,544360.5,219.1418493198288
2022,Bedrift,Telia,1544636,563880,606478,585179.0,219.96631230216167
2023,Bedrift,Telia,1606077,606478,621733,614105.5,217.94260106773186
2024,Bedrift,Telia,1608747,621733,628506,625119.5,214.45859551653723
2025,Bedrift,Telia,1598791,628506,626519,627512.5,212.31861251103896
2020,Bedrift,Unifon,175938,,47098,47098.0,311.29771964839273
2021,Bedrift,Unifon,242310,47098,65560,56329.0,358.4743205098617
2022,Bedrift,Unifon,359270,65560,114479,90019.5,332.58534724883685
2023,Bedrift,Unifon,446338,114479,126907,120693.0,308.17722099320866
2024,Bedrift,Unifon,491312,126907,124531,125719.0,325.66809047691015
2025,Bedrift,Unifon,476944,124531,128746,126638.5,313.8487374166097
2020,Privat,Chili mobil,191428,,70650,70650.0,225.793819297004
2021,Privat,Chili mobil,200133,70650,80380,75515.0,220.85347281996954
2022,Privat,Chili mobil,212344,80380,84821,82600.5,214.2279203313943
2023,Privat,Chili mobil,225484,84821,82829,83825.0,224.16144745998608
2024,Privat,Chili mobil,235317,82829,88116,85472.5,229.4275936704788
2025,Privat,Chili mobil,233153,88116,91955,90035.5,215.79728736627962
2020,Privat,Fjordkraft,291061,,166872,166872.0,145.3514270418844
2021,Privat,Fjordkraft,284015,166872,152210,159541.0,148.35005839669216
2022,Privat,Fjordkraft,292989,152210,137085,144647.5,168.7948288079642
2023,Privat,Fjordkraft,249571,137085,114775,125930.0,165.15193626088566
2024,Privat,Fjordkraft,264235,114775,111958,113366.5,194.23359928491516
2025,Privat,Fjordkraft,263556,111958,112213,112085.5,195.94862850234867
2020,Privat,Happybytes,15221,,13649,13649.0,92.9311060639363
2021,Privat,Happybytes,37583,13649,27581,20615.0,151.92416525183927
2022,Privat,Happybytes,82015,27581,41208,34394.5,198.71151879903277
2023,Privat,Happybytes,113140,41208,48928,45068.0,209.20239046182064
2024,Privat,Happybytes,108587,48928,40904,44916.0,201.4631014931576
2025,Privat,Happybytes,143314,40904,75298,58101.0,205.55297384439743
2020,Privat,Ice,1225810,,597979,597979.0,170.82679046142644
2021,Privat,Ice,1400232,597979,646266,622122.5,187.5611314491921
2022,Privat,Ice,1488745,646266,703186,674726.0,183.87031674091904
2023,Privat,Ice,1691832,703186,819352,761269.0,185.19866170827922
2024,Privat,Ice,2011644,819352,905282,862317.0,194.4029863727608
2025,Privat,Ice,2291711,905282,957108,931195.0,205.08692235962033
2022,Privat,Plussmobil,13295,,11694,11694.0,94.74231799783365
2023,Privat,Plussmobil,77459,11694,45555,28624.5,225.50321111868038
2024,Privat,Plussmobil,102195,45555,48518,47036.5,181.05620103536614
2025,Privat,Plussmobil,118775,48518,48637,48577.5,203.75516785891958
2020,Privat,Telenor,6738726,,1803567,1803567.0,311.3610417578055
2021,Privat,Telenor,6814156,1803567,1731456,1767511.5,321.26881965595885
2022,Privat,Telenor,6895484,1731456,1707586,1719521.0,334.17659142672096
2023,Privat,Telenor,6678860,1707586,1672915,1690250.5,329.28353913616155
2024,Privat,Telenor,7039827,1672915,1628046,1650480.5,355.4433087818972
2025,Privat,Telenor,7414288,1628046,1585092,1606569.0,384.5818843344627
2020,Privat,Telia,4350938,,1523701,1523701.0,237.95886900820219
2021,Privat,Telia,4368092,1523701,1501449,1512575.0,240.65429262460816
2022,Privat,Telia,4463020,1501449,1477635,1489542.0,249.68636891966344
2023,Privat,Telia,4637704,1477635,1443433,1460534.0,264.6123495470378
2024,Privat,Telia,4638468,1443433,1426250,1434841.5,269.39491226034374
2025,Privat,Telia,4801731,1426250,1382711,1404480.5,284.9055220061795
2021,Privat,Unifon,7233,,3624,3624.0,166.32174392935983
2022,Privat,Unifon,890,3624,494,2059.0,36.02072203334952
2023,Privat,Unifon,2681,494,1122,808.0,276.50577557755776
2024,Privat,Unifon,3576,1122,943,1032.5,288.61985472154964
2025,Privat,Unifon,4024,943,1080,1011.5,331.52084363157024
