ar,segment,omsetning,abonnement_forrige_ar,abonnement_slutt_ar,abonnement,value
2020,Bedrift,5088780,,1527540,1527540.0,277.61302486350604
2021,Bedrift,5201363,1527540,1604464,1566002.0,276.78567247466265
2022,Bedrift,5398642,1604464,1662066,1633265.0,275.45244239810035
2023,Bedrift,5446056,1662066,1709531,1685798.5,269.2124829865491
2024,Bedrift,5570337,1709531,1734040,1721785.5,269.60080102893187
2025,Bedrift,5675996,1734040,1754259,1744149.5,271.1921579352382
2020,Privat,12903149,,4307504,4307504.0,249.62540177946826
2021,Privat,13256781,4307504,4322027,4314765.5,256.0351773462544
2022,Privat,13653231,4322027,4357643,4339835.0,262.16878061032276
2023,Privat,13772683,4357643,4342897,4350270.0,263.82812637683026
2024,Privat,14538791,4342897,4363847,4353372.0,278.30516589592315
2025,Privat,15420163,4363847,4365945,4364896.0,294.397296827538
