metric,ar,tilbyder,series,value
Abonnement,2025,Telenor,Lineær trend,40.4420016064824
Abonnement,2026,Telenor,Lineær trend,39.34088032674565
Abonnement,2027,Telenor,Lineær trend,38.23975904700889
Abonnement,2028,Telenor,Lineær trend,37.13863776727214
Abonnement,2025,Telia,Lineær trend,32.82946124018088
Abonnement,2026,Telia,Lineær trend,32.390905216890836
Abonnement,2027,Telia,Lineær trend,31.95234919360079
Abonnement,2028,Telia,Lineær trend,31.513793170310745
Abonnement,2025,Lyse Tele (Ice),Lineær trend,17.135883052264273
Abonnement,2026,Lyse Tele (Ice),Lineær trend,18.447670455262532
Abonnement,2027,Lyse Tele (Ice),Lineær trend,19.75945785826079
Abonnement,2028,Lyse Tele (Ice),Lineær trend,21.07124526125905
Abonnement,2025,Øvrige,Lineær trend,9.592654101072448
Abonnement,2026,Øvrige,Lineær trend,9.820544001100988
Abonnement,2027,Øvrige,Lineær trend,10.048433901129528
Abonnement,2028,Øvrige,Lineær trend,10.276323801158068
Omsetning,2025,Telenor,Lineær trend,50.75646234937839
Omsetning,2026,Telenor,Lineær trend,49.56582873397241
Omsetning,2027,Telenor,Lineær trend,48.37519511856643
Omsetning,2028,Telenor,Lineær trend,47.18456150316046
Omsetning,2025,Telia,Lineær trend,30.33975047306005
Omsetning,2026,Telia,Lineær trend,30.169637020939472
Omsetning,2027,Telia,Lineær trend,29.999523568818898
Omsetning,2028,Telia,Lineær trend,29.82941011669832
Omsetning,2025,Lyse Tele (Ice),Lineær trend,12.028478738712577
Omsetning,2026,Lyse Tele (Ice),Lineær trend,12.929984436069654
Omsetning,2027,Lyse Tele (Ice),Lineær trend,13.831490133426733
Omsetning,2028,Lyse Tele (Ice),Lineær trend,14.73299583078381
Omsetning,2025,Øvrige,Lineær trend,6.875308438848987
Omsetning,2026,Øvrige,Lineær trend,7.334549809018464
Omsetning,2027,Øvrige,Lineær trend,7.793791179187941
Omsetning,2028,Øvrige,Lineær trend,8.253032549357417
