metric,ar,tilbyder,absolute,value
Abonnement,2020,Telenor,2691497,46.12642166879976
Abonnement,2020,Telia,2048542,35.1075673122602
Abonnement,2020,Lyse Tele (Ice),639390,10.957757987771815
Abonnement,2020,Øvrige,455615,7.808253031168231
Abonnement,2021,Telenor,2636670,44.48956389202312
Abonnement,2021,Telia,2065329,34.849103795146235
Abonnement,2021,Lyse Tele (Ice),693624,11.703788970572974
Abonnement,2021,Øvrige,530868,8.95754334225767
Abonnement,2022,Telenor,2588474,42.99998554747414
Abonnement,2022,Telia,2084113,34.62149083950736
Abonnement,2022,Lyse Tele (Ice),757305,12.580425399300863
Abonnement,2022,Øvrige,589817,9.79809821371764
Abonnement,2023,Telenor,2561819,42.32712888116967
Abonnement,2023,Telia,2065166,34.12128157493158
Abonnement,2023,Lyse Tele (Ice),882075,14.57390323354528
Abonnement,2023,Øvrige,543368,8.977686310353464
Abonnement,2024,Telenor,2520956,41.34146795439141
Abonnement,2024,Telia,2054756,33.69619673175315
Abonnement,2024,Lyse Tele (Ice),978504,16.046607619983774
Abonnement,2024,Øvrige,543671,8.915727693871665
Abonnement,2025,Telenor,2475133,40.4420016064824
Abonnement,2025,Telia,2009230,32.82946124018088
Abonnement,2025,Lyse Tele (Ice),1048751,17.135883052264273
Abonnement,2025,Øvrige,587090,9.592654101072448
Omsetning,2020,Telenor,10122289,56.260165321906285
Omsetning,2020,Telia,5669129,31.509289526431544
Omsetning,2020,Lyse Tele (Ice),1359987,7.558872647841151
Omsetning,2020,Øvrige,840524,4.671672503821019
Omsetning,2021,Telenor,10129387,54.87760307861939
Omsetning,2021,Telia,5799598,31.420266306298185
Omsetning,2021,Lyse Tele (Ice),1542116,8.354664477641956
Omsetning,2021,Øvrige,987043,5.34746613744047
Omsetning,2022,Telenor,10185874,53.46389827393874
Omsetning,2022,Telia,6007656,31.533151622415286
Omsetning,2022,Lyse Tele (Ice),1651755,8.669777506914937
Omsetning,2022,Øvrige,1206588,6.333172596731041
Omsetning,2023,Telenor,9850160,51.25289437564036
Omsetning,2023,Telia,6243781,32.4879847736108
Omsetning,2023,Lyse Tele (Ice),1876847,9.765713556961256
Omsetning,2023,Øvrige,1247951,6.493407293787589
Omsetning,2024,Telenor,10234886,50.89671715252894
Omsetning,2024,Telia,6247215,31.06656340344544
Omsetning,2024,Lyse Tele (Ice),2223582,11.057575445340047
Omsetning,2024,Øvrige,1403445,6.979143998685572
Omsetning,2025,Telenor,10707664,50.75646234937839
Omsetning,2025,Telia,6400522,30.33975047306005
Omsetning,2025,Lyse Tele (Ice),2537547,12.028478738712577
Omsetning,2025,Øvrige,1450426,6.875308438848987
