ar,tilbyder,inntekter,datatrafikk_gb,value
2020,Ice,1359987,37159970,36.598172711118984
2021,Ice,1542116,56445173,27.320600115797323
2022,Ice,1651755,84185868,19.620335802678902
2023,Ice,1876847,108395040,17.3148789833926
2024,Ice,2223582,135612079,16.39663676271787
2025,Ice,2537547,170097436,14.918196650536226
2020,Telenor,10122289,169506863,59.716101288477034
2021,Telenor,10129387,224783593,45.06283961748044
2022,Telenor,10185874,279323386,36.46624131930006
2023,Telenor,9850160,338407793,29.107367512662453
2024,Telenor,10234886,389117891,26.302789557419757
2025,Telenor,10707664,408825962,26.191252501718566
2020,Telia,5669129,128671627,44.058889532810525
2021,Telia,5799598,182550290,31.76986462196253
2022,Telia,6007656,210806785,28.49839961270696
2023,Telia,6243781,254040331,24.577912394548093
2024,Telia,6247215,296340055,21.081237229304016
2025,Telia,6400522,322144924,19.86845522979589
2020,Øvrige,840524,20710304,40.5848219321165
2021,Øvrige,987043,30437357,32.42866980861709
2022,Øvrige,1206588,39823017,30.298759132187296
2023,Øvrige,1247951,47771310,26.12344103605281
2024,Øvrige,1403445,48874416,28.715330327425292
2025,Øvrige,1450426,62105407,23.354262858304754
